id,exper1,married1,female1,union1,educ1,blcak1,lwage1,exper2,married2,female2,union2,educ2,blcak2,lwage2,exper3,married3,female3,union3,educ3,blcak3,lwage3,exper4,married4,female4,union4,educ4,blcak4,lwage4
1,3,1,0,0,9,0,5.56068,4,1,0,0,9,0,5.72031,5,1,0,0,9,0,5.99645,6,1,0,0,9,0,5.99645
2,30,1,0,0,11,0,6.16331,31,1,0,0,11,0,6.21461,32,1,0,1,11,0,6.2634,33,1,0,0,11,0,6.54391
3,6,1,0,1,12,0,5.65249,7,1,0,1,12,0,6.43615,8,1,0,1,12,0,6.54822,9,1,0,1,12,0,6.60259
4,31,0,1,0,10,1,6.15698,32,0,1,0,10,1,6.23832,33,0,1,0,10,1,6.30079,34,0,1,0,10,1,6.35957
5,10,1,0,1,16,0,6.43775,11,1,0,1,16,0,6.62007,12,1,0,1,16,0,6.63332,13,1,0,0,16,0,6.98286
6,26,1,0,0,12,0,6.90575,27,1,0,0,12,0,6.90575,28,1,0,0,12,0,6.90776,29,1,0,0,12,0,7.00307
7,15,1,0,1,12,0,6.1334,16,1,0,1,12,0,6.17379,17,1,0,1,12,0,6.21261,18,1,0,1,12,0,6.31355
8,23,1,0,1,10,0,6.3315,24,1,0,1,10,0,6.40357,25,1,0,1,10,0,6.54391,26,1,0,1,10,0,6.56244
9,3,1,0,0,16,0,6.55108,4,1,0,0,16,0,6.55108,5,1,0,0,16,0,6.80239,6,1,0,0,16,0,6.90776
10,3,1,0,0,16,0,6.39693,4,1,0,0,16,0,6.43775,5,1,0,0,16,0,6.43775,6,1,0,0,16,0,6.43775
11,24,0,0,1,12,0,6.65801,25,0,0,1,12,0,6.72623,26,0,0,1,12,0,6.80239,27,1,0,1,12,0,6.90776
12,21,1,0,1,12,0,6.55108,22,1,0,1,12,0,6.62936,23,1,0,1,12,0,6.72263,24,1,0,1,12,0,6.7334
13,26,1,0,0,12,0,6.90575,27,1,0,0,12,0,6.90073,28,1,0,0,12,0,7.17012,29,1,0,0,12,0,7.26543
14,15,1,0,0,17,0,6.80239,16,1,0,0,17,0,6.80239,17,1,0,0,17,0,6.9256,18,1,0,0,17,0,7.00307
15,9,0,1,0,14,0,5.94017,10,0,1,0,14,0,5.86079,11,0,1,0,14,0,5.99894,12,0,1,0,14,0,6.0845
16,16,0,1,0,12,1,5.97889,17,0,1,0,12,1,5.78383,18,0,1,0,12,1,5.85793,19,0,1,0,12,1,5.95324
17,16,1,0,0,14,0,6.62007,17,1,0,0,14,0,6.49224,18,1,0,0,14,0,6.77992,19,1,0,0,14,0,6.74524
18,25,1,0,0,16,0,6.90575,26,1,0,0,16,0,6.90575,27,1,0,0,16,0,7.6009,28,1,0,0,16,0,7.64969
19,40,1,0,1,12,0,6.38688,41,1,0,1,12,0,6.47389,42,1,0,1,12,0,6.54247,43,1,0,1,12,0,6.67582
20,25,1,0,0,16,0,6.78333,26,1,0,0,16,0,6.85751,27,1,0,0,16,0,6.98472,28,1,0,0,16,0,7.0579
21,28,1,0,1,4,0,6.05912,29,1,0,1,4,0,6.05209,30,1,0,1,4,0,5.99146,31,1,0,1,4,0,6.21461
22,20,1,0,0,14,0,6.59987,21,1,0,0,14,0,6.59987,22,1,0,0,14,0,6.68461,23,1,0,0,14,0,6.72743
23,11,1,0,0,16,0,6.90575,12,1,0,0,16,0,6.90575,13,1,0,0,16,0,7.49554,14,1,0,0,16,0,7.66153
24,5,0,1,0,12,0,5.43808,6,0,1,0,12,0,5.52146,7,0,1,0,12,0,5.57973,8,0,1,0,12,0,5.66988
25,8,1,0,1,17,0,6.52942,9,1,0,1,17,0,6.57925,10,1,0,1,17,0,6.71538,11,1,0,1,17,0,6.68461
26,14,1,0,0,15,0,6.47697,15,1,0,0,15,0,6.55108,16,1,0,0,15,0,6.86693,17,1,0,0,15,0,6.85646
27,8,0,0,0,16,0,6.01616,9,0,0,0,16,0,6.90575,10,0,0,0,16,0,7.04752,11,0,0,0,16,0,7.26193
28,26,1,0,0,12,0,6.7334,27,1,0,0,12,0,6.69703,28,1,0,0,12,0,6.68461,29,1,0,0,12,0,6.74524
29,31,1,0,0,14,0,6.90575,32,1,0,0,14,0,6.90575,33,1,0,0,14,0,7.06219,34,1,0,0,14,0,7.57558
30,17,0,1,0,12,0,6.19644,18,0,1,0,12,0,6.29895,19,0,1,0,12,0,6.3315,20,0,1,0,12,0,6.36303
31,22,1,0,0,17,0,6.90575,23,1,0,0,17,0,6.90575,24,1,0,0,17,0,7.31322,25,1,0,0,17,0,7.24423
32,30,1,0,0,16,0,6.90575,31,1,0,0,16,0,6.90575,32,1,0,0,16,0,7.46737,33,1,0,0,16,0,7.40853
33,14,1,0,0,16,0,6.90575,15,1,0,0,16,0,6.90575,16,1,0,0,16,0,7.17012,17,1,0,0,16,0,7.27932
34,45,1,0,0,8,0,5.7589,46,1,0,0,8,0,5.86079,47,1,0,0,8,0,5.82305,48,1,0,0,8,0,5.94803
35,8,1,0,1,13,1,6.51471,9,1,0,1,13,1,6.6107,10,1,0,1,13,1,6.39693,11,1,0,1,13,1,6.75227
36,15,1,0,0,10,0,6.62007,16,1,0,0,10,0,6.77422,17,1,0,0,10,0,7.1309,18,1,0,0,10,0,7.08841
37,12,1,0,0,14,0,6.90575,13,1,0,0,14,0,6.7417,14,1,0,0,14,0,7.00307,15,1,0,0,14,0,7.1309
38,10,1,0,1,12,0,6.05209,11,1,0,1,12,0,6.05209,12,1,0,1,12,0,6.05209,13,1,0,1,12,0,6.36819
39,6,1,0,0,13,0,6.47697,7,0,0,0,13,0,6.58617,8,0,0,0,13,0,6.47697,9,0,0,0,13,0,6.52942
40,30,1,0,1,8,0,6.35784,31,1,0,1,8,0,6.49979,32,1,0,1,8,0,6.58203,33,1,0,1,8,0,6.69456
41,20,1,0,0,16,0,6.90575,21,1,0,0,16,0,6.90575,22,1,0,0,16,0,7.37776,23,1,0,0,16,0,7.49109
42,30,0,1,1,12,1,6.2186,31,0,1,1,12,1,6.49375,32,0,1,1,12,1,6.58064,33,0,1,1,12,1,6.6896
43,5,1,0,0,16,0,6.68461,6,1,0,0,16,0,6.84375,7,1,0,0,16,0,6.90776,8,1,0,0,16,0,7.00307
44,7,1,0,0,17,0,6.90575,8,1,0,0,17,0,6.90575,9,1,0,0,17,0,7.20786,10,1,0,0,17,0,7.31322
45,13,0,1,0,13,0,6.22456,14,0,1,0,13,0,6.33328,15,0,1,0,13,0,6.30992,16,0,1,0,13,0,6.47697
46,6,1,0,1,12,0,6.12687,7,1,0,1,12,0,6.23245,8,1,0,1,12,0,6.32615,9,1,0,1,12,0,6.32436
47,26,1,0,0,14,0,6.90575,27,1,0,0,14,0,6.90575,28,1,0,0,14,0,7.04752,29,1,0,0,14,0,7.09008
48,26,0,0,0,16,0,6.90575,27,0,0,0,16,0,6.90575,28,0,0,0,16,0,7.1309,29,0,0,0,16,0,7.22621
49,31,1,0,0,16,0,6.90575,32,1,0,0,16,0,6.90575,33,1,0,0,16,0,7.6009,34,1,0,0,16,0,7.67601
50,31,0,1,1,12,0,6.27099,32,0,1,1,12,0,6.39859,33,0,1,1,12,0,6.48311,34,0,1,1,12,0,6.55678
51,31,1,0,0,17,0,6.90575,32,1,0,0,17,0,6.90575,33,1,0,0,17,0,7.6009,34,1,0,0,17,0,7.64969
52,25,1,0,0,16,0,6.90575,26,1,0,0,16,0,6.90575,27,1,0,0,16,0,7.24423,28,1,0,0,16,0,7.1309
53,13,1,0,0,13,0,6.43615,14,1,0,0,13,0,6.90575,15,1,0,0,13,0,6.95655,16,1,0,0,13,0,6.95655
54,13,1,0,1,11,0,6.51175,14,1,0,1,11,0,6.5903,15,1,0,1,11,0,6.68461,16,1,0,1,11,0,6.74524
55,32,1,0,1,8,0,6.65415,33,1,0,1,8,0,6.85013,34,1,0,1,8,0,6.85646,35,1,0,1,8,0,6.92363
56,23,1,0,0,12,0,6.10925,24,1,0,0,12,0,6.16331,25,1,0,0,12,0,6.33328,26,1,0,0,12,0,6.33328
57,21,1,0,0,11,0,6.04025,22,1,0,0,11,0,6.28972,23,1,0,0,11,0,6.01616,24,1,0,0,11,0,6.57786
58,37,1,0,1,14,0,6.55108,38,1,0,1,14,0,6.68461,39,1,0,1,14,0,6.69703,40,1,0,0,14,0,6.90776
59,26,1,0,0,17,0,6.90575,27,1,0,0,17,0,6.90575,28,1,0,0,17,0,7.34601,29,1,0,0,17,0,7.43838
60,18,0,1,1,11,1,5.97635,19,0,1,1,11,1,6.04025,20,0,1,1,11,1,6.04025,21,0,1,1,11,1,6.04025
61,24,0,1,1,17,0,6.78559,25,0,1,0,17,0,6.88857,26,0,1,0,17,0,6.88755,27,0,1,0,17,0,6.96885
62,7,1,0,0,16,0,6.58064,8,1,0,0,16,0,6.83518,9,1,0,0,16,0,6.91274,10,1,0,0,16,0,6.95845
63,11,1,0,0,17,0,6.90575,12,1,0,0,17,0,6.90575,13,1,0,0,17,0,7.49554,14,1,0,0,17,0,7.54961
64,34,1,0,0,12,0,6.35611,35,1,0,0,12,0,6.42162,36,1,0,0,12,0,6.47697,37,1,0,0,12,0,6.53669
65,30,1,0,1,8,0,6.55536,31,1,0,1,8,0,6.62274,32,1,0,1,8,0,6.72263,33,1,0,1,8,0,6.77992
66,20,1,0,0,8,0,6.3081,21,1,0,0,8,0,6.39693,22,1,0,0,8,0,6.51767,23,1,0,0,8,0,6.6107
67,28,1,0,0,12,0,5.96615,29,1,0,0,12,0,6.02828,30,1,0,0,12,0,6.15273,31,1,0,0,12,0,6.21461
68,34,1,0,1,12,0,6.45834,35,1,0,1,12,0,6.50728,36,1,0,1,12,0,6.56808,37,1,0,1,12,0,6.66823
69,27,1,0,0,13,0,6.40523,28,1,0,0,13,0,6.55678,29,1,0,0,13,0,6.62007,30,1,0,0,13,0,6.62007
70,8,1,0,0,16,0,6.47697,9,1,0,0,16,0,6.47697,10,1,0,0,16,0,6.62007,11,1,0,0,16,0,6.80239
71,7,0,0,0,16,0,6.69703,8,0,0,0,16,0,6.80239,9,0,0,0,16,0,6.8977,10,0,0,0,16,0,6.95655
72,11,1,0,1,17,0,6.47697,12,1,0,1,17,0,6.62007,13,1,0,1,17,0,6.62007,14,1,0,1,17,0,6.68461
73,13,1,0,1,16,0,6.46147,14,1,0,1,16,0,6.65544,15,1,0,1,16,0,6.73459,16,1,0,1,16,0,6.81344
74,3,0,0,0,13,0,5.4161,4,0,0,0,13,0,5.52146,5,0,0,0,13,0,5.59842,6,0,0,0,13,0,5.70378
75,23,1,0,0,8,1,5.66988,24,1,0,0,8,1,5.99146,25,1,0,0,8,1,6.08677,26,1,0,0,8,1,6.17379
76,9,1,0,0,13,0,5.16479,10,1,0,0,13,0,5.62762,11,1,0,0,13,0,5.84354,12,1,0,0,13,0,5.96101
77,10,1,0,0,10,0,5.52146,11,1,0,0,10,0,5.70378,12,1,0,0,10,0,6.20456,13,1,0,0,10,0,6.05912
78,37,1,0,0,12,0,5.70378,38,0,0,0,12,0,5.78383,39,0,0,0,12,0,5.78383,40,0,0,0,12,0,6.16331
79,10,0,1,0,8,0,5.42935,11,0,1,0,8,0,5.47227,12,0,1,0,8,0,5.64545,13,0,1,0,8,0,5.68698
80,5,1,0,0,17,0,6.74524,6,1,0,0,17,0,6.81674,7,1,0,0,17,0,6.65929,8,1,0,0,17,0,7.09008
81,6,1,0,1,16,0,6.35437,7,1,0,1,16,0,6.33683,8,1,0,1,16,0,6.43775,9,1,0,1,16,0,6.39693
82,22,1,0,1,12,0,6.62007,23,1,0,1,12,0,6.66568,24,1,0,1,12,0,6.81454,25,1,0,1,12,0,6.88857
83,12,0,0,1,12,0,6.12249,13,0,0,1,12,0,6.08904,14,0,0,1,12,0,6.29157,15,0,0,1,12,0,6.39693
84,38,1,0,0,17,1,6.58617,39,1,0,0,17,1,6.62007,40,1,0,0,17,1,6.62007,41,1,0,0,17,1,6.40192
85,15,1,0,1,7,0,6.16331,16,1,0,1,7,0,6.22654,17,1,0,1,7,0,6.32077,18,0,0,1,7,0,6.4552
86,3,0,1,0,12,0,6.21461,4,0,1,0,12,0,6.71538,5,0,1,0,12,0,6.43775,6,0,1,0,12,0,6.65673
87,12,1,0,1,14,0,6.54247,13,1,0,1,14,0,6.60259,14,1,0,1,14,0,6.74641,15,1,0,1,14,0,6.86485
88,5,1,0,0,15,0,6.3699,6,1,0,0,15,0,6.39693,7,1,0,0,15,0,6.55962,8,1,0,0,15,0,6.73102
89,11,1,0,0,12,1,6.05209,12,1,0,0,12,1,6.02345,13,1,0,0,12,1,6.30992,14,1,0,0,12,1,6.38012
90,1,0,1,0,12,0,6.21461,2,0,1,0,12,0,6.21461,3,0,1,0,12,0,6.30992,4,0,1,0,12,0,6.39693
91,10,1,0,1,7,0,6.34388,11,1,0,1,7,0,6.41346,12,1,0,1,7,0,6.72743,13,1,0,1,7,0,6.76504
92,5,1,0,1,14,0,6.47697,6,1,0,1,14,0,6.58617,7,1,0,1,14,0,6.7334,8,1,0,1,14,0,6.81344
93,33,1,0,1,7,0,5.99146,34,1,0,0,7,0,6.17794,35,1,0,0,7,0,6.17794,36,1,0,1,7,0,6.39693
94,11,1,0,1,17,0,6.79122,12,1,0,1,17,0,6.84588,13,1,0,1,17,0,6.87213,14,1,0,1,17,0,6.95655
95,37,1,0,1,8,0,6.28413,38,1,0,1,8,0,6.32794,39,1,0,1,8,0,6.47697,40,1,0,1,8,0,6.50429
96,29,1,0,0,16,0,6.90575,30,1,0,0,16,0,6.90575,31,1,0,0,16,0,7.34601,32,1,0,0,16,0,7.20786
97,30,1,0,0,11,0,6.10925,31,1,0,0,11,0,6.22654,32,1,0,0,11,0,6.31355,33,1,0,0,11,0,6.41999
98,16,1,0,0,17,0,6.72743,17,1,0,0,17,0,6.8977,18,1,0,0,17,0,6.98379,19,1,0,0,17,0,7.07918
99,12,0,0,0,12,0,5.78074,13,0,0,0,12,0,5.826,14,0,0,0,12,0,5.84644,15,0,0,0,12,0,5.95584
100,8,1,0,0,11,0,5.99146,9,1,0,0,11,0,6.10925,10,1,0,0,11,0,6.39693,11,1,0,0,11,0,6.39693
101,29,1,0,0,14,0,6.69703,30,1,0,0,14,0,6.79682,31,1,0,0,14,0,6.89467,32,1,0,0,14,0,6.96885
102,3,0,0,0,17,0,6.68461,4,0,0,0,17,0,6.80239,5,0,0,0,17,0,6.90776,6,0,0,0,17,0,7.04752
103,14,1,0,0,16,0,6.30992,15,1,0,0,16,0,6.58617,16,1,0,0,16,0,6.62007,17,1,0,0,16,0,6.90776
104,17,0,0,0,7,0,5.73657,18,0,0,0,7,0,5.81413,19,0,0,0,7,0,5.8999,20,0,0,0,7,0,5.94017
105,11,0,0,0,14,0,6.67203,12,0,0,0,14,0,6.84268,13,0,0,0,14,0,6.84055,14,0,0,0,14,0,6.85646
106,6,1,0,0,12,0,6.36303,7,1,0,0,12,0,6.47697,8,1,0,0,12,0,6.57228,9,1,0,0,12,0,6.65929
107,31,1,0,0,12,0,6.90575,32,1,0,0,12,0,6.90575,33,1,0,0,12,0,7.1309,34,1,0,0,12,0,7.1309
108,15,1,0,1,12,0,6.24611,16,1,0,0,12,0,6.21461,17,1,0,1,12,0,6.47697,18,1,0,1,12,0,6.49677
109,25,1,0,1,12,0,6.74524,26,1,0,0,12,0,6.81344,27,1,0,0,12,0,6.87213,28,1,0,0,12,0,7.10661
110,37,1,0,1,12,0,6.50728,38,1,0,1,12,0,6.55108,39,1,0,1,12,0,6.8773,40,1,0,1,12,0,6.55108
111,6,0,0,0,13,0,6.10925,7,0,0,0,13,0,6.31355,8,0,0,0,13,0,6.45362,9,0,0,0,13,0,6.68461
112,19,0,0,0,13,0,6.90575,20,0,0,0,13,0,6.90575,21,0,0,0,13,0,7.1107,22,0,0,0,13,0,7.25134
113,27,1,0,0,17,0,6.90575,28,1,0,0,17,0,6.90575,29,1,0,0,17,0,7.17012,30,1,0,0,17,0,7.4553
114,29,1,0,0,17,0,6.28972,30,1,0,0,17,0,6.3613,31,1,0,0,17,0,6.43615,32,1,0,0,17,0,6.43455
115,14,1,0,0,12,0,6.69456,15,1,0,0,12,0,6.76849,16,1,0,0,12,0,6.90776,17,1,0,0,12,0,7.03966
116,14,1,0,1,14,0,6.74052,15,1,0,1,14,0,6.82979,16,1,0,1,14,0,6.80239,17,1,0,1,14,0,6.94698
117,14,0,1,0,17,0,6.57925,15,0,1,1,17,0,6.39693,16,0,1,1,17,0,6.62007,17,0,1,1,17,0,6.7093
118,25,1,0,1,9,0,6.58617,26,1,0,1,9,0,6.68461,27,1,0,1,9,0,6.71538,28,1,0,1,9,0,6.77422
119,16,1,0,0,17,0,6.90575,17,1,0,0,17,0,6.90575,18,1,0,0,17,0,8.08641,19,1,0,0,17,0,8.22951
120,14,1,0,0,12,0,6.24417,15,1,0,0,12,0,6.39693,16,1,0,0,12,0,6.90776,17,1,0,0,12,0,6.90776
121,13,1,0,0,16,0,6.90575,14,1,0,0,16,0,6.90575,15,0,0,0,16,0,7.46737,16,0,0,0,16,0,7.52294
122,15,1,0,1,12,0,6.62007,16,1,0,1,12,0,6.71417,17,1,0,1,12,0,6.81892,18,1,0,1,12,0,6.97635
123,27,1,0,1,8,0,6.30992,28,1,0,1,8,0,6.55108,29,1,0,1,8,0,6.56526,30,1,0,1,8,0,6.74524
124,28,1,0,0,16,0,6.8977,29,1,0,0,16,0,6.90575,30,1,0,0,16,0,7.17012,31,1,0,0,16,0,7.31322
125,14,1,0,1,12,0,6.22059,15,1,0,1,12,0,6.30079,16,1,0,1,12,0,6.37673,17,1,0,1,12,0,6.50129
126,3,1,0,0,12,0,6.41673,4,1,0,0,12,0,6.4892,5,1,0,0,12,0,6.6174,6,1,0,0,12,0,6.70564
127,28,1,0,1,14,0,6.83518,29,1,0,1,14,0,6.90575,30,1,0,1,14,0,7.08171,31,1,0,1,14,0,7.09838
128,27,1,0,0,12,0,5.52146,28,1,0,0,12,0,5.89715,29,1,0,1,12,0,6.35611,30,1,0,1,12,0,6.47697
129,31,1,0,1,8,0,6.07074,32,1,0,1,8,0,6.12687,33,1,0,1,8,0,6.21461,34,1,0,1,8,0,6.27288
130,31,1,0,1,8,0,6.48311,32,1,0,1,8,0,6.52503,33,1,0,1,8,0,6.608,34,1,0,1,8,0,6.71538
131,30,1,0,1,8,0,6.48311,31,1,0,1,8,0,6.55393,32,1,0,1,8,0,6.59987,33,1,0,1,8,0,6.7093
132,21,1,0,0,17,0,6.90575,22,1,0,0,17,0,6.90575,23,1,0,0,17,0,7.43838,24,1,0,0,17,0,7.49554
133,19,1,0,1,12,1,6.32794,20,1,0,1,12,1,6.47697,21,1,0,1,12,1,6.58617,22,1,0,1,12,1,6.68461
134,4,0,0,1,12,0,5.72031,5,0,0,1,12,0,5.95842,6,0,0,1,12,0,6.02102,7,0,0,1,12,0,6.21461
135,15,1,0,0,12,0,6.65286,16,1,0,0,12,0,6.77422,17,1,0,0,12,0,7.09008,18,1,0,0,12,0,6.90776
136,20,1,0,0,13,0,6.90575,21,1,0,0,13,0,6.57925,22,1,0,0,13,0,7.18311,23,1,0,0,13,0,7.31322
137,23,1,0,0,11,0,6.63726,24,1,0,0,11,0,6.78559,25,1,0,0,11,0,6.91274,26,1,0,0,11,0,6.98286
138,23,1,0,0,16,0,6.90575,24,1,0,0,16,0,6.90575,25,1,0,0,16,0,7.46737,26,1,0,0,16,0,7.50384
139,4,0,0,0,16,0,6.43775,5,0,0,0,16,0,6.62007,6,0,0,0,16,0,6.62007,7,0,0,0,16,0,6.77422
140,10,1,0,1,9,0,6.23048,11,1,0,1,9,0,6.33328,12,1,0,1,9,0,6.36475,13,1,0,1,9,0,6.45047
141,15,1,0,0,8,0,5.8861,16,1,0,0,8,0,5.78383,17,1,0,0,8,0,5.99146,18,1,0,0,8,0,6.10925
142,35,1,0,0,16,0,6.72143,36,1,0,0,16,0,6.68085,37,1,0,0,16,0,6.72623,38,1,0,0,16,0,6.8773
143,34,1,0,0,12,0,6.37161,35,1,0,0,12,0,6.47697,36,1,0,0,12,0,6.58617,37,1,0,0,12,0,6.68461
144,7,1,0,0,14,0,6.23048,8,1,0,0,14,0,6.30992,9,1,0,0,14,0,6.39693,10,1,0,0,14,0,6.62007
145,19,1,0,0,16,0,6.77422,20,1,0,0,16,0,6.90575,21,1,0,0,16,0,7.31322,22,1,0,0,16,0,7.49554
146,36,1,0,0,15,0,6.90575,37,1,0,0,15,0,6.90575,38,1,0,0,15,0,7.1309,39,1,0,0,15,0,7.17012
147,12,1,0,0,12,0,6.47697,13,1,0,0,12,0,6.61338,14,1,0,0,12,0,6.72143,15,1,0,0,12,0,7.00307
